,trackName,artistName,msPlayed,endTime,valence,tempo,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness
0,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,315706,2020-12-25 00:00,0.662,101.918,0.818,0.553,84987.0,0.337,0.0,10.0,0.113,-10.334,0.03
1,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Gene Autry,150266,2020-12-25 00:02,0.662,101.918,0.818,0.553,84987.0,0.337,0.0,10.0,0.113,-10.334,0.03
2,Joy To The World,Nat King Cole,84986,2020-12-25 00:03,0.662,101.918,0.818,0.553,84987.0,0.337,0.0,10.0,0.113,-10.334,0.03
3,The First Noel - Remastered 1999,Frank Sinatra,126113,2020-12-25 00:16,0.662,101.918,0.818,0.553,84987.0,0.337,0.0,10.0,0.113,-10.334,0.03
5,Sleigh Ride,Andy Williams,128400,2020-12-25 00:58,0.662,101.918,0.818,0.553,84987.0,0.337,0.0,10.0,0.113,-10.334,0.03
6,Run Rudolph Run - Single Version,Chuck Berry,165733,2020-12-25 01:01,0.662,101.918,0.818,0.553,84987.0,0.337,0.0,10.0,0.113,-10.334,0.03
7,Feliz Navidad,José Feliciano,182066,2020-12-25 01:04,0.662,101.918,0.818,0.553,84987.0,0.337,0.0,10.0,0.113,-10.334,0.03
8,The Little Drummer Boy - Remastered 2006,Bing Crosby,180040,2020-12-25 01:07,0.662,101.918,0.818,0.553,84987.0,0.337,0.0,10.0,0.113,-10.334,0.03
9,Frosty the Snowman,The Ronettes,136306,2020-12-25 01:09,0.662,101.918,0.818,0.553,84987.0,0.337,0.0,10.0,0.113,-10.334,0.03
10,"Baby, It's Cold Outside",Dean Martin,143733,2020-12-25 01:12,0.662,101.918,0.818,0.553,84987.0,0.337,0.0,10.0,0.113,-10.334,0.03
11,I'll Be Home For Christmas - Single Version,Bing Crosby,176293,2020-12-25 01:15,0.662,101.918,0.818,0.553,84987.0,0.337,0.0,10.0,0.113,-10.334,0.03
