,URI,artistName,numPlays,trackName
9366,spotify:track:3sjZJ0ZEGUOAg6bs6FnBip,Chitra,186,Throwaway
3593,spotify:track:4HeM8rZit0bMegXEGJ1Bp4,Tee Peters,41,Suttin
5608,spotify:track:4ZaRg5Sf4TKr0YcFRLh7QJ,UMI,35,Love Affair
461,spotify:track:02wNtFxlr9dLmZXKT5TIF5,The Marías,35,Over the Moon
8893,spotify:track:1iT25vbTtfYuC6KrK4vSEx,Billy Talent,32,The Ex
6155,spotify:track:3uMewMD8hz7pCWnpgC10ay,L.A.B.,31,Natural
2533,spotify:track:6UVxCRDAXLjz95fs5bl7Xr,PawPaw Rod,30,HIT EM WHERE IT HURTS
2820,spotify:track:6xxG3HbexOhJKyiLmtUPhT,Bakar,29,Hell N Back
3326,spotify:track:6mNNt5QHcWvRgxwgLGzsXK,Jelani Aryeh,29,Stella Brown
2897,spotify:track:0VGyn5TrmY6oq05Ynj63Hz,COIN,27,Malibu 1992
905,spotify:track:0MH2fBfdoOl17OSbmrwClC,Lake Street Dive,26,Better Than
428,spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,Mac Miller,26,Good News
7797,spotify:track:1TLlzj0uSsGVCQLLncqBIb,Dominic Fike,26,Why
758,spotify:track:6WZjjf4mKurHPC5BhdGwet,Mac DeMarco,24,Ode to Viceroy
907,spotify:track:3C9r0AyWSRd740XAFltKNx,Good Morning,24,Give Me Something To Do
388,spotify:track:0GegHVxeozw3rdjte45Bfx,Fleet Foxes,23,White Winter Hymnal
917,spotify:track:3hhbDnFUb2bicI2df6VurK,Leon Bridges,23,River
910,spotify:track:2Zzu0xvM9FNTOi2jNdS8Qg,Alice Phoebe Lou,23,Nostalgia
2900,spotify:track:1VpcATIL1OzUeiBqqqSTtV,Arlie,23,barcelona boots
714,spotify:track:3QmzlL0tTtDgD1Hwfct68D,The Head And The Heart,23,Let's Be Still
4245,spotify:track:6QZbDUZEgkwaVWROtWzjQ0,Sammy Rae & The Friends,22,Kick It to Me
759,spotify:track:4ehkZtzPTbjsRULRfQSWYu,Leon Bridges,22,Inside Friend (feat. John Mayer)
1125,spotify:track:5oZps6mYqU5s7A4WjUZggJ,Anderson .Paak,22,Lockdown
6893,spotify:track:2hwOoMtWPtTSSn6WHV7Vp5,Mac Miller,22,Blue World
7709,spotify:track:3II5NhDhjzIessLfaSjPQn,Mallrat,22,Groceries
316,spotify:track:5ONbCAFFnAJ0YGClEeddcU,The Lumineers,22,Patience
5496,spotify:track:2i40wZkiPAGIFudrGH99nx,Kota the Friend,22,Outside
1496,spotify:track:1170VohRSx6GwE6QDCHPPH,The Backseat Lovers,21,Kilby Girl
9670,spotify:track:4dGuRldChjvboZktprNJFM,The Marías,21,Hush - Still Woozy Remix
312,spotify:track:7K6LFPfjdnN6QqvGzhvpRO,Hozier,21,Like Real People Do
117,spotify:track:7paEvsQ08LWCV8Agvo9CWa,Ella Fitzgerald,20,Isn't This A Lovely Day?
7114,spotify:track:51pshtuYkgUQnt5huMPbKL,Mac Miller,20,The Spins
1232,spotify:track:4Mve2PSQqMtVn5DemVoBYr,Pinegrove,20,Aphasia
1462,spotify:track:2nkPVfTBJrDkLJnA8JJKcO,Dr. Dog,20,The Breeze
7048,spotify:track:2xdSF7JRootmerTeradyGb,Tai Verdes,20,A-O-K
7803,spotify:track:2dgrYdgguVZKeCsrVb9XEs,Mac Miller,19,What's the Use?
1127,spotify:track:4SBVWkRIMJ6WBCYPvr5Bwr,Anderson .Paak,19,Make It Better (feat. Smokey Robinson)
6513,spotify:track:1E9FXqfYfR3eUgNpdBowz1,Izzy Kaye,18,Daydreaming
534,spotify:track:0Sz9cETbT6N4Pe33xvyHwC,Macseal,18,Cats
