,trackName,artistName,msPlayed,endTime,valence,tempo,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness
0,Hush - Still Woozy Remix,The Marías,182346,2021-10-01 00:42,0.564,103.999,0.403,0.708,182347,0.554,0.0428,10,0.126,-6.83,0.0311
1,Hush - Still Woozy Remix,The Marías,182346,2021-10-01 02:09,0.564,103.999,0.403,0.708,182347,0.554,0.0428,10,0.126,-6.83,0.0311
2,Minnesota Girls,The Shackletons,271986,2021-10-01 02:13,0.338,123.545,0.0598,0.434,271987,0.631,0.0,1,0.0787,-7.502,0.0475
3,Get Bummed Out,Remember Sports,102106,2021-10-01 02:15,0.67,192.209,0.00074,0.201,144981,0.91,0.0618,11,0.115,-4.288,0.104
4,Brown Noise - 90 Minutes,Sound Dreamer,3633017,2021-10-01 03:24,0.0,0.0,0.111,0.0,5403500,9.9e-05,0.392,2,0.137,-21.669,0.0
5,Why,Dominic Fike,139906,2021-10-01 03:26,0.349,116.994,0.346,0.694,139907,0.852,0.00886,6,0.109,-2.678,0.0408
6,Sakura III,Elijah Nang,277894,2021-10-01 03:31,0.435,151.938,0.695,0.597,277895,0.23,0.314,3,0.104,-11.061,0.122
7,Friday Morning,Khruangbin,410900,2021-10-01 03:38,0.438,105.458,0.123,0.44,410900,0.261,0.856,11,0.105,-13.631,0.0301
8,Attention,Charlie Puth,203968,2021-10-01 03:40,0.798,100.006,0.109,0.776,208787,0.613,2.09e-05,3,0.134,-4.586,0.0535
9,People Everywhere (Still Alive),Khruangbin,159013,2021-10-01 03:40,0.807,109.209,0.043,0.551,159013,0.648,0.655,7,0.41,-13.088,0.0627
10,Brown Noise - 90 Minutes,Sound Dreamer,313984,2021-10-01 03:45,0.0,0.0,0.111,0.0,5403500,9.9e-05,0.392,2,0.137,-21.669,0.0
11,Natural,L.A.B.,220440,2021-10-02 03:29,0.686,80.983,0.0784,0.845,220440,0.347,0.00158,4,0.0971,-9.23,0.0452
12,Nunca vas a comprender,Rita Payés,244631,2021-10-02 03:34,0.623,130.92,0.908,0.677,244632,0.285,0.0263,1,0.117,-13.394,0.0364
13,Let's Be Still,The Head And The Heart,73064,2021-10-02 03:35,0.563,131.18,0.674,0.638,268347,0.411,0.00357,9,0.106,-10.724,0.0277
14,Fireball (feat. John Ryan),Pitbull,230969,2021-10-02 21:49,0.794,122.951,0.0894,0.69,235012,0.937,0.000104,10,0.0532,-5.393,0.0642
15,Body,Megan Thee Stallion,29605,2021-10-02 22:57,0.469,94.066,0.0166,0.914,171067,0.732,0.0,8,0.107,-6.1,0.241
16,Fireball (feat. John Ryan),Pitbull,31555,2021-10-02 22:57,0.794,122.951,0.0894,0.69,235012,0.937,0.000104,10,0.0532,-5.393,0.0642
17,Bezos I,Bo Burnham,29257,2021-10-02 22:58,0.705,115.044,0.00936,0.694,58149,0.948,1.62e-05,2,0.139,-5.307,0.0361
18,Paris Madness,Samaran,32507,2021-10-02 22:59,0.65,121.992,0.0027,0.812,196743,0.684,0.912,1,0.0823,-9.056,0.0587
19,Time of Our Lives,Pitbull,32182,2021-10-02 22:59,0.764,123.995,0.0895,0.729,229347,0.801,0.0,5,0.766,-5.698,0.0529
20,Danza Kuduro,Don Omar,30255,2021-10-02 23:00,0.896,130.067,0.0866,0.701,198387,0.896,0.0,0,0.0572,-6.459,0.0814
21,Timber (feat. Ke$ha),Pitbull,37964,2021-10-02 23:00,0.788,129.992,0.0295,0.581,204160,0.963,0.0,11,0.139,-4.087,0.0981
22,Like A G6,Far East Movement,31254,2021-10-02 23:01,0.73,124.8,0.00627,0.611,218760,0.864,0.0,7,0.22,-7.073,0.322
23,Kiss Me Thru The Phone,Soulja Boy,35642,2021-10-02 23:02,0.794,149.966,0.0203,0.761,193920,0.618,0.0,7,0.115,-6.617,0.108
24,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,44466,2021-10-02 23:03,0.53,129.014,0.192,0.669,252880,0.939,0.0,3,0.295,-3.209,0.161
25,Air Horn Frenzy,DJ 0.000001,31746,2021-10-02 23:03,0.296,146.116,2.51e-05,0.438,31747,0.963,0.908,10,0.156,-6.104,0.072
26,Hey Ya!,Outkast,235213,2021-10-02 23:07,0.966,79.508,0.0666,0.724,235533,0.955,0.00027,0,0.139,-3.9,0.0565
27,Bezos I,Bo Burnham,58149,2021-10-02 23:08,0.705,115.044,0.00936,0.694,58149,0.948,1.62e-05,2,0.139,-5.307,0.0361
28,Fireball (feat. John Ryan),Pitbull,236200,2021-10-02 23:12,0.794,122.951,0.0894,0.69,235012,0.937,0.000104,10,0.0532,-5.393,0.0642
29,Body,Megan Thee Stallion,171067,2021-10-02 23:15,0.469,94.066,0.0166,0.914,171067,0.732,0.0,8,0.107,-6.1,0.241
30,Bezos I,Bo Burnham,58149,2021-10-02 23:16,0.705,115.044,0.00936,0.694,58149,0.948,1.62e-05,2,0.139,-5.307,0.0361
31,Paris Madness,Samaran,196742,2021-10-02 23:19,0.65,121.992,0.0027,0.812,196743,0.684,0.912,1,0.0823,-9.056,0.0587
32,Time of Our Lives,Pitbull,229360,2021-10-02 23:23,0.764,123.995,0.0895,0.729,229347,0.801,0.0,5,0.766,-5.698,0.0529
33,Timber (feat. Ke$ha),Pitbull,204160,2021-10-02 23:26,0.788,129.992,0.0295,0.581,204160,0.963,0.0,11,0.139,-4.087,0.0981
34,Hips Don't Lie (feat. Wyclef Jean),Shakira,218093,2021-10-02 23:30,0.758,100.024,0.284,0.778,218093,0.824,0.0,10,0.405,-5.892,0.0707
35,Danza Kuduro,Don Omar,198773,2021-10-02 23:33,0.896,130.067,0.0866,0.701,198387,0.896,0.0,0,0.0572,-6.459,0.0814
36,Like A G6,Far East Movement,216893,2021-10-02 23:37,0.73,124.8,0.00627,0.611,218760,0.864,0.0,7,0.22,-7.073,0.322
37,Kiss Me Thru The Phone,Soulja Boy,193386,2021-10-02 23:40,0.794,149.966,0.0203,0.761,193920,0.618,0.0,7,0.115,-6.617,0.108
38,What's Up?,Mom Jeans.,122536,2021-10-03 01:23,0.844,84.469,0.000115,0.515,141909,0.934,0.000176,9,0.269,-5.6,0.041
39,Air Horn Frenzy,DJ 0.000001,31746,2021-10-03 06:51,0.296,146.116,2.51e-05,0.438,31747,0.963,0.908,10,0.156,-6.104,0.072
40,Body,Megan Thee Stallion,149888,2021-10-03 06:54,0.469,94.066,0.0166,0.914,171067,0.732,0.0,8,0.107,-6.1,0.241
41,WAP (feat. Megan Thee Stallion),Cardi B,14570,2021-10-03 06:54,0.359,133.026,0.0272,0.934,187541,0.443,0.0,1,0.0889,-7.541,0.41
42,Body,Megan Thee Stallion,34794,2021-10-03 06:55,0.469,94.066,0.0166,0.914,171067,0.732,0.0,8,0.107,-6.1,0.241
43,WAP (feat. Megan Thee Stallion),Cardi B,179050,2021-10-03 07:02,0.359,133.026,0.0272,0.934,187541,0.443,0.0,1,0.0889,-7.541,0.41
44,Y.M.C.A.,Village People,145791,2021-10-03 07:05,0.765,126.577,0.0747,0.752,228107,0.787,0.0,6,0.531,-11.146,0.0628
45,Wannabe,Spice Girls,11520,2021-10-03 07:06,0.865,109.996,0.0831,0.759,173000,0.883,0.0,11,0.181,-5.214,0.0329
46,Hollaback Girl,Gwen Stefani,42175,2021-10-03 07:06,0.901,110.037,0.387,0.925,200760,0.918,8.64e-06,10,0.0271,-2.329,0.0938
